paper_id,title,year,authors,abstract,venue,url
56e46b45c9696578bf17b7b3dfde9af6aed28d5e,A Cyber Kill Chain Approach for Detecting Advanced Persistent Threats,2021,Yussuf Ahmed; A. Asyhari; Md Arafatur Rahman,": The number of cybersecurity incidents is on the rise despite sig-nificant investment in security measures. The existing conventional security approaches have demonstrated limited success against some of the more complex cyber-attacks. This is primarily due to the sophistication of the attacks and the availabilityof powerful tools. Interconnected devices such as the Internet of Things (IoT) are also increasing attack exposures due to the increase in vulnerabilities. Over the last few years, we have seen a trend moving towards embracing edge technologies to harness the power of IoT devices and 5G networks. Edge technology brings processing power closer to the network and brings many advantages, including reduced latency, while it can also introduce vulnerabilities that could be exploited. Smart cities are also dependent on technologies where everything is interconnected. This interconnectivity makes them highly vulnerable to cyber-attacks, especially by the Advanced Persistent Threat (APT), as these vulnerabilities are amplified by the need to integrate new technologies with legacy systems. Cybercriminals behind APT attacks have recently been targeting the IoT ecosystems, prevalent in many of these cities. In this paper, we used a publicly availabledataset on Advanced Persistent Threats (APT) and developed a data-driven approach for detecting APT stages using the Cyber Kill Chain. APTs are highly sophisticated and targeted forms of attacks that can evade intrusion detection systems, resulting in one of the greatest current challenges facing security professionals. In this experiment, we used multiple machine learning classifiers, such as Naïve Bayes, Bayes Net, KNN, Random Forest and Support Vector Machine (SVM). We used Weka performance metrics to show the numeric results. The best performance result of 91.1% was obtained with the Naïve Bayes classifier. We hope our proposed solution will help security professionals to deal with APTs in a timely and effective manner.",Computers Materials & Continua,https://doi.org/10.32604/cmc.2021.014223
1252000c3249e094ac6123106ac54699db819f15,A Hybrid Deep Learning Approach for Advanced Persistent Threat Attack Detection,2021,Meaad Alrehaili; Adel Alshamrani; A. Eshmawi,"Advanced Persistent Threat (APT) attack is one of the most common and costly destructive attacks on the target system. This attack has become a challenge for companies, governments, and organizations’ information security systems. In recent years, methods for detecting and preventing APT attacks that use machine learning or deep learning algorithms to analyze indications and anomalous behaviors in network traffic have become popular. However, due to a lack of typical data from attack campaigns, the APT attack detection approach that uses behavior analysis and evaluation approaches encounter many issues. Network traffic analysis to detect a common APT attack is one of the solutions for dealing with this situation. This paper develops efficient and flexible deep learning models. To analyze huge network traffic, a hybrid deep learning approach that builds two models is used: Stacked Autoencoder with Long Short-Term Memory (SAE-LSTM) and Convolutional Neural Networks with Long Short-Term Memory Network (CNN-LSTM) to detect indications of APT attacks. A reliable dataset ’DAPT2020’ that covers all APT stages is used to evaluate the proposed approach. The experimental results demonstrate that the hybrid deep learning approach proved to give higher performance than the individual deep learning model in detecting malicious behavior in each APT stage.",International Conference on Future Networks and Distributed Systems,https://www.semanticscholar.org/paper/1252000c3249e094ac6123106ac54699db819f15
54858e895b285d646ffb4de70103b6fb57bf61d1,A Novel Method for Detecting Advanced Persistent Threat Attack Based on Belief Rule Base,2021,Guozhu Wang; Yiwen Cui; Jie Wang; Lihua Wu; Guanyu Hu,"Advanced persistent threat (APT) is a special attack method, which is usually initiated by hacker groups to steal data or destroy systems for large enterprises and even countries. APT has a long-term and multi-stage characteristic, which makes it difficult for traditional detection methods to effectively identify. To detect APT attacks requires solving some problems: how to deal with various uncertain information during APT attack detection, how to fully train the APT detection model with small attack samples, and how to obtain the interpretable detection results for subsequent APT attack forensics. Traditional detection methods cannot effectively utilize multiple uncertain information with small samples. Meanwhile, most detection models are black box and lack a transparent calculation process, which makes it impossible for managers to analyze the reliability and evidence of the results. To solve these problems, a novel detection method based on belief rule base (BRB) is proposed in this paper, where expert knowledge and small samples are both utilized to obtain interpretable detection results. A case study with numerical simulation is established to prove the effectiveness and practicality of the proposed method.",Applied Sciences,https://www.mdpi.com/2076-3417/11/21/9899/pdf?version=1635296533
41587b78e98a711882076e7bfe379e7124a265d8,A Survey of Advanced Persistent Threats Attack and Defense,2021,Yangyang Mei; Weihong Han; Shudong Li; Xiaobo Wu,"Advanced Persistent Threats (APT) are a complex attack method aimed at specific targets to steal high-value sensitive information or damage the target organization's infrastructure. The attackers patiently and constantly look for new methods to invade each endpoint in the target network system and formulate different attack strategies in different links. This purposeful, organized, and premeditated group targeted attack seriously threatens the country and the enterprise network security. Some of the proposed APT detection defense methods apply only to individual stages of attacks. They are constrained to the study of APT attack detection defense as a whole (from detection to target completion). In this survey paper, we first introduce the origin and attack mechanism of APT and compare it with the traditional attacks. We summarize a universal five-stage APT attack model, listing attack techniques and methods of different stages, which provide the basis for the design of threat detection defense framework, and finally, the optional detection defense techniques for different attack stages.",International Conference on Data Science in Cyberspace,https://www.semanticscholar.org/paper/41587b78e98a711882076e7bfe379e7124a265d8
fe6ea488803963ebb83a49a4ed7a21e613c37f52,A multi-layer approach for advanced persistent threat detection using machine learning based on network traffic,2021,Cho Do Xuan; Duc Duong; Xuan Dau Hoang,"Advanced Persistent Threat (APT) is a dangerous network attack method that is widely used by attackers nowadays. During the APT attack process, attackers often use advanced techniques and tools, thus, causing many difficulties for information security systems. In fact, to detect the APT attacks, intrusion detection systems cannot rely on one technique or method but often combine multiple techniques and methods. In addition, the approach for APT attack detection using behavior analysis and evaluation techniques is facing many difficulties due to the lack of characteristic data of attack campaigns. For the above reasons, in this paper, we propose a method for APT attack detection based on a multi-layer analysis. The multi-layer analysis technique in our proposal computes and analyzes various events in Network Traffic to detect and synthesize abnormal signs and behaviors in order to make conclusions about the existence of APT in the system. Specifically, in our proposal, we will use serial 3 main layers for the APT attack detection process including i) Detecting APT attacks based on analyzing abnormal connection; ii) Detecting APT attacks based on analyzing and evaluating Suricata log; iii) Detecting APT attacks based on analyzing behavior profiles that are compiled from layers (i) and (ii). To achieve these goals, the multi-layer analysis technique for APT attack detection will perform 2 main tasks: i) Analyzing and evaluating components of Network Traffic based on abnormal signs and behaviors. ii) building and classifying behavior profile based on each component of network traffic. In the experimental section, we will compare and evaluate the effectiveness of the APT attack detection process of each layer in the multi-layer analysis model using machine learning. Experimental results have shown that the APT attack detection method based on analyzing behavior profile has yielded better results than individual detection methods on all metrics. The research results shown in the paper not only demonstrate the effectiveness of the multilayer analysis model for APT attack detection but also provide a novel approach for detecting several other cyber-attack techniques.",Journal of Intelligent & Fuzzy Systems,https://www.semanticscholar.org/paper/fe6ea488803963ebb83a49a4ed7a21e613c37f52
b28d4ff72789d030d5ad94deb4c3f06d273c604c,A spatial-temporal correlation based method for advanced persistent threat detection,2021,Luoli Wang,"Advanced Persistent Threats (APT) have caused severe damage to the core information infrastructure of many governments and organizations. APT attacks usually remain low and slow which makes them difficult to be detected. In this case, the way of correlatively analyzing massive logs generated by various security devices for effectively detecting the new type of cyber threat turns out to be more and more significant. In this paper, on the basis of analyzing the principles and characteristics of APT, we propose an intelligent threat detection method based on the expanded Cyber Attack Chain (CAC) model and the long short-term memory network (LSTM) autoencoder to extensively correlate malicious behaviors from spatial and temporal dimensions, which provides a brain new idea for the application and practice of complex network attack detection.",Journal of Physics: Conference Series,https://doi.org/10.1088/1742-6596/2113/1/012037
ab0634b369ff37412c111c3c3a9386c37ea44237,ANUBIS: a provenance graph-based framework for advanced persistent threat detection,2021,Md. Monowar Anjum; Shahrear Iqbal; B. Hamelin,"We present ANUBIS, a highly effective machine learning-based APT detection system. Our design philosophy for ANUBIS involves two principal components. Firstly, we intend ANUBIS to be effectively utilized by cyber-response teams. Therefore, prediction explainability is one of the main focuses of ANUBIS design. Secondly, ANUBIS uses system provenance graphs to capture causality and thereby achieves high detection performance. At the core of the predictive capability of ANUBIS, there is a Bayesian Neural Network that can tell how confident it is in its predictions. We evaluate ANUBIS against a recent APT dataset (DARPA OpTC) and show that ANUBIS can detect malicious activity akin to APT campaigns with high accuracy. Moreover, ANUBIS learns about high-level patterns that allow it to explain its predictions to threat analysts. The high predictive performance with explainable attack story reconstruction makes ANUBIS an effective tool to use for enterprise cyber defense.",ACM Symposium on Applied Computing,https://arxiv.org/pdf/2112.11032
454535e78805cd04090440f7de3771b36adc423c,Advanced Persistent Threat Detection and Defence (APT),2021,Hassan Adeyoola,"as the growth and popularity of technology has become simultaneous ascend in both impacts and numbers of cyber criminals thanks to the web. For many years, the organization has strived in ways of preventing any attacks from cyber-criminal with advanced techniques. Cybercriminals and intruders are developing a more advanced way to breach the security surface of an organization. Advanced Persistent Threats are also known as APT are new and a lot more sophisticated version for multistep attack scenarios that are known and are targeted just to achieve a goal most commonly undercover activities. this report, there will cover everything I know that tells us about APT with more word and brief explanations",Unknown Venue,https://doi.org/10.20944/preprints202106.0621.v1
ffffd7609b92b935bf987d5d39cc5f722f0ec620,Advanced Persistent Threat Detection: A Survey,2021,Adam Khalid; A. Zainal; Mohd Aizaini Maarof; Fuad A. Ghaleb,"Advanced Persistent Threat is a very sophisticated targeted attack aimed at organizations. Several approaches have been proposed to detect APT. This paper defines an APT as an attack that has certain objectives to be achieved, and are performed by well-funded organizations, and is long term campaign. In this paper we have identified APT as a threat that follows a kill chain process. Intrusion detection and intrusion detection methods are summarized in this paper. Detection of an APT is a challenge. In this paper various detection methods used by researchers and the challenges in detecting APT is highlighted.","International Conference on Cybernetics, Robotics and Control",https://www.semanticscholar.org/paper/ffffd7609b92b935bf987d5d39cc5f722f0ec620
4f07d7e91a441f56167342f4d00a5daede99ceef,An Advanced Persistent Threat (APT)-Style Cyberattack Testbed for Distributed Energy Resources (DER),2021,Kyuchan Park; Bohyun Ahn; Jinsan Kim; D. Won; Youngtae Noh; Jinchun Choi; Taesic Kim,"Advanced Persistent Threat (APT) is a professional stealthy threat actor who uses continuous and sophisticated attack techniques which have not been well mitigated by existing defense strategies. This paper proposes an APT-style cyber-attack tested for distributed energy resources (DER) in cyber-physical environments. The proposed security testbed consists of: 1) a real-time DER simulator; 2) a real-time cyber system using real network systems and a server; and 3) penetration testing tools generating APT-style attacks as cyber events. Moreover, this paper provides a cyber kill chain model for a DER system based on a latest MITRE’s cyber kill chain model to model possible attack stages. Several real cyber-attacks are created and their impacts in a DER system are provided to validate the feasibility of the proposed security testbed for DER systems.",2021 IEEE Design Methodologies Conference (DMC),https://www.semanticscholar.org/paper/4f07d7e91a441f56167342f4d00a5daede99ceef
